2025-05-20 18:05:47,891 - __main__ - INFO - Starting detailed monitoring with interval 5s
2025-05-20 18:13:33,282 - __main__ - INFO - CPU: 20.0%, Memory: 61.1% (Available: 5.34 GB)
2025-05-20 18:13:33,282 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:38,380 - __main__ - INFO - CPU: 19.8%, Memory: 61.2% (Available: 5.32 GB)
2025-05-20 18:13:38,380 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:43,454 - __main__ - INFO - CPU: 15.9%, Memory: 61.0% (Available: 5.35 GB)
2025-05-20 18:13:43,454 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:48,526 - __main__ - INFO - CPU: 19.8%, Memory: 61.4% (Available: 5.29 GB)
2025-05-20 18:13:48,526 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:53,597 - __main__ - INFO - CPU: 19.9%, Memory: 61.4% (Available: 5.29 GB)
2025-05-20 18:13:53,598 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:13:58,681 - __main__ - INFO - CPU: 21.2%, Memory: 61.6% (Available: 5.26 GB)
2025-05-20 18:13:58,681 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:03,763 - __main__ - INFO - CPU: 24.2%, Memory: 61.8% (Available: 5.23 GB)
2025-05-20 18:14:03,763 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:08,848 - __main__ - INFO - CPU: 21.8%, Memory: 62.0% (Available: 5.21 GB)
2025-05-20 18:14:08,849 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:13,919 - __main__ - INFO - CPU: 17.8%, Memory: 62.1% (Available: 5.20 GB)
2025-05-20 18:14:13,919 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:18,984 - __main__ - INFO - CPU: 18.2%, Memory: 61.9% (Available: 5.22 GB)
2025-05-20 18:14:18,984 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:24,069 - __main__ - INFO - CPU: 20.5%, Memory: 62.1% (Available: 5.19 GB)
2025-05-20 18:14:24,070 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:29,147 - __main__ - INFO - CPU: 15.1%, Memory: 62.2% (Available: 5.18 GB)
2025-05-20 18:14:29,147 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:34,230 - __main__ - INFO - CPU: 17.1%, Memory: 62.2% (Available: 5.18 GB)
2025-05-20 18:14:34,230 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:39,328 - __main__ - INFO - CPU: 18.8%, Memory: 63.2% (Available: 5.04 GB)
2025-05-20 18:14:39,329 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:44,396 - __main__ - INFO - CPU: 17.7%, Memory: 63.0% (Available: 5.07 GB)
2025-05-20 18:14:44,397 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:49,473 - __main__ - INFO - CPU: 24.5%, Memory: 63.5% (Available: 5.00 GB)
2025-05-20 18:14:49,474 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:54,554 - __main__ - INFO - CPU: 19.2%, Memory: 63.5% (Available: 5.00 GB)
2025-05-20 18:14:54,554 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:14:59,641 - __main__ - INFO - CPU: 17.0%, Memory: 63.8% (Available: 4.97 GB)
2025-05-20 18:14:59,641 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:15:04,703 - __main__ - INFO - CPU: 19.0%, Memory: 63.6% (Available: 4.99 GB)
2025-05-20 18:15:04,704 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:15:09,782 - __main__ - INFO - CPU: 17.5%, Memory: 63.7% (Available: 4.98 GB)
2025-05-20 18:15:09,782 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:15:14,857 - __main__ - INFO - CPU: 17.1%, Memory: 63.7% (Available: 4.98 GB)
2025-05-20 18:15:14,857 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
